Vertices,Arestas (aprox.),Fluxo Max. (media),Tempo (ms),Push (media),Relabel (media),Gargalos (media)
10,27,153.4,0.044 +/- 0.026,25 +/- 16,20 +/- 14,3.6
50,735,733.5,13.107 +/- 0.215,3334 +/- 294,2320 +/- 6,13.8
100,2970,1312.4,61.206 +/- 53.964,9167 +/- 8125,5851 +/- 5177,27.2
250,18675,3728.7,1414.139 +/- 790.430,66742 +/- 38442,49332 +/- 27316,74.2
500,74850,6949.6,14418.455 +/- 13129.740,203762 +/- 189081,149193 +/- 135325,143.6
1000,299700,14046.0,150581.241 +/- 137613.363,889486 +/- 838771,598351 +/- 544412,288.0
